id,body_part,equipment,gif_url,name,target
1675,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1675.gif,"dumbbell reverse spider curl",biceps
1676,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1676.gif,"dumbbell seated alternate hammer curl on exercise ball",biceps
1677,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1677.gif,"dumbbell seated bicep curl",biceps
1678,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1678.gif,"dumbbell seated hammer curl",biceps
1679,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1679.gif,"dumbbell seated one arm bicep curl on exercise ball with leg raised",biceps
1680,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1680.gif,"dumbbell standing one arm curl over incline bench",biceps
1682,"upper arms","ez barbell",http://d205bpvrqc9yn1.cloudfront.net/1682.gif,"ez bar seated close grip concentration curl",biceps
1683,"upper arms","smith machine",http://d205bpvrqc9yn1.cloudfront.net/1683.gif,"smith machine bicep curl",biceps
1684,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1684.gif,"dumbbell step up single leg balance with bicep curl",biceps
1685,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1685.gif,"squat to overhead reach",quads
1686,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/1686.gif,"squat to overhead reach with twist",quads
1687,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1687.gif,"posterior step to overhead reach",abs
1688,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1688.gif,"lunge with twist",abs
1689,chest,"body weight",http://d205bpvrqc9yn1.cloudfront.net/1689.gif,"push and pull bodyweight",pectorals
1700,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1700.gif,"dumbbell push press",delts
1701,"upper arms","medicine ball",http://d205bpvrqc9yn1.cloudfront.net/1701.gif,"medicine ball close grip push up",triceps
1705,"upper legs","bosu ball",http://d205bpvrqc9yn1.cloudfront.net/1705.gif,"squat on bosu ball",quads
1707,waist,"stability ball",http://d205bpvrqc9yn1.cloudfront.net/1707.gif,"prone twist on stability ball",abs
1708,"lower legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/1708.gif,"assisted lying calves stretch",calves
1709,"upper legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/1709.gif,"assisted lying glutes stretch",glutes
1710,"upper legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/1710.gif,"assisted lying gluteus and piriformis stretch",glutes
1712,"upper legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/1712.gif,"assisted side lying adductor stretch",adductors
1713,"upper legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/1713.gif,"assisted prone lying quads stretch",quads
1714,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/1714.gif,"assisted prone rectus femoris stretch",abs
1716,chest,assisted,http://d205bpvrqc9yn1.cloudfront.net/1716.gif,"assisted seated pectoralis major stretch with stability ball",pectorals
1717,back,cable,http://d205bpvrqc9yn1.cloudfront.net/1717.gif,"cable squat row (with rope attachment)",lats
1718,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1718.gif,"barbell seated close grip behind neck triceps extension",triceps
1719,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1719.gif,"barbell incline close grip bench press",triceps
1720,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1720.gif,"barbell lying back of the head tricep extension",triceps
1721,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/1721.gif,"barbell reverse grip skullcrusher",triceps
1722,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1722.gif,"cable high pulley overhead tricep extension",triceps
1723,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1723.gif,"cable one arm tricep pushdown",triceps
1724,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1724.gif,"cable rope high pulley overhead tricep extension",triceps
1725,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1725.gif,"cable rope incline tricep extension",triceps
1726,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1726.gif,"cable rope lying on floor tricep extension",triceps
1727,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1727.gif,"cable standing reverse grip one arm overhead tricep extension",triceps
1728,"upper arms",cable,http://d205bpvrqc9yn1.cloudfront.net/1728.gif,"cable two arm tricep kickback",triceps
1729,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1729.gif,"dumbbell lying alternate extension",triceps
1730,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1730.gif,"dumbbell seated bent over alternate kickback",triceps
1731,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1731.gif,"dumbbell close grip press",triceps
1732,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1732.gif,"dumbbell forward lunge triceps extension",triceps
1733,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1733.gif,"dumbbell incline two arm extension",triceps
1734,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1734.gif,"dumbbell kickbacks on exercise ball",triceps
1735,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1735.gif,"dumbbell lying single extension",triceps
1736,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1736.gif,"dumbbell one arm french press on exercise ball",triceps
1737,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1737.gif,"dumbbell seated bent over triceps extension",triceps
1738,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1738.gif,"dumbbell seated reverse grip one arm overhead tricep extension",triceps
1739,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1739.gif,"dumbbell standing alternating tricep kickback",triceps
1740,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1740.gif,"dumbbell standing bent over one arm triceps extension",triceps
1741,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1741.gif,"dumbbell standing bent over two arm triceps extension",triceps
1742,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1742.gif,"dumbbell tricep kickback with stork stance",triceps
1743,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1743.gif,"dumbbell twisting bench press",triceps
1744,"upper arms","stability ball",http://d205bpvrqc9yn1.cloudfront.net/1744.gif,"exercise ball dip",triceps
1745,"upper arms","stability ball",http://d205bpvrqc9yn1.cloudfront.net/1745.gif,"exercise ball seated triceps stretch",triceps
1746,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1746.gif,"exercise ball supine triceps extension",triceps
